name,formula
HYDROXYAPATITE,Ca(5)P(3)O(13)H(1)
FLUORAPATITE,Ca(5)P(3)O(12)F(1)
CHLORAPATITE,Ca(5)P(3)O(12)Cl(1)
DIAMOND,C(1)
MAGNETITE,Fe(3)O(4)
CORUNDUM,Al(2)O(3)
HEMATITE,Fe(2)O(3)
PERICLASE,Mg(1)O(1)
LIME,Ca(1)O(1)
SPINEL,Mg(1)Al(2)O(4)
BRUCITE,Mg(1)O(2)H(2)
DIASPORE,Al(1)O(2)H(1)
CALCITE,Ca(1)C(1)O(3)
MAGNESITE,Mg(1)C(1)O(3)
SIDERITE,Fe(1)C(1)O(3)
ARAGONITE,Ca(1)C(1)O(3)
DOLOMITE,Mg(1)Ca(1)C(2)O(6)
ANDALUSITE,Al(2)Si(1)O(5)
KYANITE,Al(2)Si(1)O(5)
SILLIMANITE,Al(2)Si(1)O(5)
GLAUCOPHANE,Na(2)Al(2)Mg(3)Si(8)O(24)H(2)
LAWSONITE,Ca(1)Al(2)Si(2)O(10)H(4)
PUMPELLYITE,Ca(4)Al(5)Mg(1)Si(6)O(28)H(7)
ZOISITE,Ca(2)Al(3)Si(3)O(13)H(1)
CLINOZOISITE,Ca(2)Al(3)Si(3)O(13)H(1)
FORSTERITE,Mg(1)Si(0.5)O(2)
FAYALITE,Fe(1)Si(0.5)O(2)
MONTICELLITE,Ca(1)Mg(1)Si(1)O(4)
MERWINITE,Ca(3)Mg(1)Si(2)O(8)
CHRYSOTILE,Mg(3)Si(2)O(9)H(4)
ENSTATITE_CL,Mg(2)Si(2)O(6)
ENSTATITE_OR,Mg(1)Si(1)O(3)
ENSTATITE_PR,Mg(1)Si(1)O(3)
DIOPSIDE,Mg(1)Ca(1)Si(2)O(6)
HEDENBERGITE,Ca(1)Fe(1)Si(2)O(6)
JADEITE,Na(1)Al(1)Si(2)O(6)
CAALPYROXENE,Ca(1)Al(2)Si(1)O(6)
FERROSILITE,Si(1)Fe(1)O(3)
WOLLASTONITE,Ca(1)Si(1)O(3)
PSEUDOWOLLA,Ca(1)Si(1)O(3)
TREMOLITE,Ca(2)Mg(5)Si(8)O(24)H(2)
ANTHOPHYLLITE,Mg(7)Si(8)O(24)H(2)
CORDIERITE,Mg(2)Al(4)Si(5)O(18)
KFELDSPAR,K(1)Al(1)Si(3)O(8)
ALBITE,Na(1)Al(1)Si(3)O(8)
ANORTHITE,Al(2)Ca(1)Si(2)O(8)
GEHLENITE,Al(2)Ca(2)Si(1)O(7)
KAOLINITE,Al(2)Si(2)O(9)H(4)
ANTIGORITE,Mg(24)Si(17)O(73.5)H(31)
PYROPHYLLITE,Al(2)Si(4)O(12)H(2)
TALC,Mg(3)Si(4)O(12)H(2)
MUSCOVITE,K(1)Al(3)Si(3)O(12)H(2)
ANNITE,Si(1)Fe(1)Al(0.333)K(0.333)H(0.668)O(4)
PHLOGOPITE,K(0.333)Mg(1)Al(0.333)Si(1)O(4)H(0.668)
PARAGONITE,Na(1)Al(3)Si(3)O(12)H(2)
MARGARITE,Ca(1)Al(4)Si(2)O(12)H(2)
PREHNITE,Ca(2)Al(2)Si(3)O(12)H(2)
CLINOCHLORE,Mg(1)Al(0.4)Si(0.6)O(3.6)H(1.6)
CHAMOSITE,Fe(1)Al(0.4)Si(0.6)O(3.6)H(1.6)
PYROPE,Mg(1.001)Al(0.666)Si(1)O(4)
ALMANDINE,Si(1)Fe(1.001)Al(0.666)O(4)
GROSSULAR,Ca(1.001)Al(0.666)Si(1)O(4)
MEIONITE,Ca(4)Al(6)Si(6)O(27)C(1)
QUARTZ_ALPHA,Si(1)O(2)
QUARTZ_BETA,Si(1)O(2)
COESITE,Si(1)O(2)
IRON_ALPHA,Fe(1)
IRON_GAMMA,Fe(1)
GRAPHITE,C(1)
BARITE,Ba(1)S(1)O(4)
PYRRHOTITE,Fe(1)S(1)
PYRITE,Fe(1)S(2)
HALITE,Na(1)Cl(1)
SYLVITE,K(1)Cl(1)
STRONTIANITE,Sr(1)C(1)O(3)
ANHYDRITE,Ca(1)S(1)O(4)
CELESTITE,Sr(1)S(1)O(4)
CRISTO_ALPHA,Si(1)O(2)
CRISTO_BETA,Si(1)O(2)
ALUNITE,K(1)Al(3)S(2)O(14)H(6)
HERCYNITE,Fe(1)Al(2)O(4)
